AR,MF,MT,PR,FPI,TPI,SE,GC
22,199.2092457,3.485366681,16.92307692,774.0909091,157.7727273,4.240642434,1
39,196.1678832,2.858783907,27.85714286,463.0769231,78.61538462,2.139955965,1
31,229.622871,4.281648957,28.18181818,535.8064516,116.3870968,3.15123584,1
20,304.136253,2.584653944,16.66666667,1200,118.8,3.235942147,1
30,258.5158151,3.302613372,25,680,101.2,2.756386861,1
38,290.4501217,3.172075294,34.54545455,552.8947368,70.34210526,1.946676556,1
30,278.2846715,2.884891523,25,732,88.4,2.42232698,1
35,313.2603406,2.571600136,31.81818182,647.4285714,61.91428571,1.729444251,1
36,311.7396594,2.297470172,27.69230769,740.2777778,63.55555556,1.772560527,1
46,288.9294404,3.524528105,38.33333333,495.6521739,70.43478261,1.948712637,1
41,293.4914842,2.96321437,34.16666667,564.8780488,66.43902439,1.843982635,1
45,298.053528,2.871837715,34.61538462,566.2222222,63.55555556,1.768758824,1
47,285.8880779,2.871837715,36.15384615,520,60.85106383,1.69363629,1
35,270.6812652,2.871837715,29.16666667,610.2857143,75.42857143,2.076116132,1
34,273.7226277,1.958071169,26.15384615,688.2352941,57.35294118,1.59746076,1
45,278.2846715,2.78046106,37.5,488,56.8,1.584059881,1
42,287.6520681,2.756964206,35,540.4571429,60.34285714,1.680644865,1
37,288.9294404,2.480223481,28.46153846,667.5675676,66.75675676,1.851144027,1
35,288.9294404,1.918909746,25,760,58.8,1.640071641,1
45,266.5450122,3.328720988,37.5,467.4133333,68,1.877906191,1
43,269.2518248,3.737305172,35.83333333,494.1209302,79.89767442,2.194272926,1
38,281.3260341,2.78046106,29.23076923,632.8947368,72.86842105,2.011158777,1
41,290.2980535,2.921442185,31.53846154,605.2926829,70.96097561,1.96305136,1
44,296.4111922,3.049369501,33.84615385,575.9,69.01818182,1.913212109,1
42,278.8017032,3.041537216,35,523.8285714,66.57142857,1.843414485,1
35,284.3673966,3.002375793,26.92307692,694.5714286,85.42857143,2.345192233,1
41,290.4501217,2.480223481,29.28571429,652.195122,64.87804878,1.801729126,1
43,288.9294404,3.302613372,33.07692308,574.4186047,76.48837209,2.109298868,1
34,331.9647202,3.429235308,26.15384615,834.6764706,100.4441176,2.756737711,1
35,349.756691,3.002375793,25,920,92,2.537679102,1
39,385.4927007,4.378247135,30,845,111.8,3.072849081,1
35,329.9878345,3.263451949,26.92307692,806,92.85714286,2.554925559,1
35,395.377129,4.568832729,26.92307692,965.7142857,130,3.558394161,1
40,380.1703163,4.177218495,33.33333333,750,96,2.652237091,1
34,377.1289538,3.211236718,24.28571429,1021.176471,101.2941176,2.791831656,1
40,358.8047445,4.104117171,33.33333333,707.85,94.32,2.601736111,1
35,369.5711679,3.686395322,26.92307692,902.6828571,104.8914286,2.88515972,1
37,380.1703163,3.132913871,26.42857143,945.9459459,90.81081081,2.514581187,1
38,410.5839416,5.221523118,31.66666667,852.6315789,126.3157895,3.464885602,1
42,342.1532847,4.307756573,32.30769231,696.4285714,102.1428571,2.804631078,1
50,352.7980535,3.041537216,35.71428571,649.6,65.24,1.828649635,1
51,361.9221411,2.910999138,34,700,65.58823529,1.840421895,1
45,352.7980535,2.871837715,32.14285714,721.7777778,68.44444444,1.913655342,1
42,357.3600973,5.495653082,30,783.3333333,140.3333333,3.821950752,1
40,372.7189781,4.908231731,30.76923077,796.575,122.2,3.345186199,1
40,380.1703163,4.307756573,30.76923077,812.5,107.25,2.950670789,1
31,380.1703163,2.610761559,25.83333333,967.7419355,77.41935484,2.159340144,1
25,364.9635036,4.960446962,19.23076923,1248,197.6,5.343200865,1
12,374.0875912,3.054591024,10,2460,234,6.311334144,1
20,377.1289538,3.067644832,15.38461538,1612,152.75,4.15682448,1
31,334.5498783,3.002375793,25.83333333,851.6129032,89.03225806,2.454728392,1
15,310.2189781,4.568832729,11.53846154,1768,303.3333333,8.132828692,1
20,345.1946472,6.135289664,15.38461538,1475.5,305.5,8.200020276,1
17,395.377129,9.137665457,14.16666667,1835.294118,494.1176471,13.21750314,1
10,396.8978102,6.918518132,7.692307692,3393,689,18.38765545,2
12,424.270073,8.197791296,10,2790,628,16.77708502,2
20,456.2043796,9.268203535,20,1500,355,9.543964585,1
12,436.4355231,6.096128241,10,2870,467,12.5095465,2
7,456.2043796,9.137665457,5.833333333,5142.857143,1200,31.95965126,2
15,349.756691,7.179594288,11.53846154,1993.333333,476.6666667,12.74190096,2
12,387.7737226,7.179594288,10,2550,550,14.69780684,2
25,329.9878345,5.874213508,20.83333333,1041.6,216,5.821590295,1
18,339.1119221,5.352061196,13.84615385,1610.555556,296.1111111,7.949267445,1
25,314.7810219,4.829908884,20.83333333,993.6,177.6,4.79871249,1
20,311.7396594,4.699370806,16.66666667,1230,216,5.816521357,1
20,334.5498783,3.916142339,15.38461538,1430,195,5.265781292,1
18,364.9635036,6.265827742,15,1600,320,8.590159503,1
15,418.1873479,7.440670444,12.5,2200,456,12.21267572,1
15,415.1459854,8.484975067,11.53846154,2366,563.3333333,15.05910944,1
15,406.0218978,6.787980054,11.53846154,2314,450.6666667,12.06781675,1
10,422.7493917,7.04905621,7.692307692,3614,702,18.73969316,2
12,488.1386861,7.584262329,9.230769231,3477.5,629.4166667,16.83240684,2
15,425.7907543,7.701746599,11.53846154,2426.666667,511.3333333,13.68263945,2
15,440.9975669,6.135289664,12.5,2320,376,10.09681671,1
12,445.5596107,8.354436989,9.230769231,3174.166667,693.3333333,18.51612485,2
12,440.9975669,6.787980054,10,2900,520,13.91676805,1
15,425.7907543,8.484975067,12.5,2240,520,13.91254393,1
12,471.4111922,8.876589301,9.230769231,3358.333333,736.6666667,19.67282824,2
15,463.8077859,7.440670444,11.53846154,2643.333333,494,13.23339078,1
12,486.6180049,7.440670444,9.230769231,3466.666667,617.5,16.51586577,2
25,410.5839416,4.960446962,20.83333333,1296,182.4,4.952656123,1
25,372.56691,5.352061196,17.85714286,1372,229.6,6.194190998,1
23,416.6666667,4.829908884,19.16666667,1429.565217,193.0434783,5.236689998,1
25,410.5839416,4.111949456,19.23076923,1404,163.8,4.459245742,1
35,395.377129,3.916142339,26.92307692,965.7142857,111.4285714,3.065741706,1
30,380.1703163,4.568832729,23.07692308,1083.333333,151.6666667,4.128931243,1
37,380.1703163,4.307756573,28.46153846,878.3783784,115.9459459,3.181351972,1
38,375.6082725,3.916142339,29.23076923,845,102.6315789,2.826888668,1
35,378.649635,3.002375793,26.92307692,924.8571429,85.42857143,2.371381744,1
38,368.0048662,3.524528105,29.23076923,827.8947368,92.36842105,2.552521307,1
40,360.4014599,3.642012375,33.33333333,711,83.7,2.320458232,1
40,361.9221411,3.876980915,30.76923077,773.5,96.525,2.661095059,1
40,380.1703163,3.655066183,30.76923077,812.5,91,2.519599892,1
40,349.756691,3.655066183,30.76923077,747.5,91,2.511151663,1
40,349.756691,4.046680417,30.76923077,747.5,100.75,2.769794201,1
40,339.1119221,3.485366681,30.76923077,724.75,86.775,2.396116349,1
40,334.5498783,3.73338903,30.76923077,715,92.95,2.558656056,1
40,351.2773723,2.924052946,30.76923077,750.75,72.8,2.028774669,1
40,364.9635036,3.916142339,30.76923077,780,97.5,2.687804136,1
27,299.5742092,2.584653944,20.76923077,948.5185185,95.33333333,2.612164324,1
25,299.5742092,2.584653944,20.83333333,945.6,95.04,2.604382941,1
35,349.756691,3.655066183,26.92307692,854.2857143,104,2.856008381,1
37,331.5085158,2.741299637,28.46153846,765.9459459,73.78378378,2.049380585,1
40,317.8223844,2.741299637,33.33333333,627,63,1.759512706,1
25,319.3430657,2.871837715,19.23076923,1092,114.4,3.123445526,1
35,270.6812652,2.741299637,26.92307692,661.1428571,78,2.144329549,1
35,349.756691,3.263451949,26.92307692,854.2857143,92.85714286,2.560416908,1
45,345.1946472,3.393990027,34.61538462,655.7777778,75.11111111,2.088392884,1
40,349.756691,3.263451949,33.33333333,690,75,2.086712625,1
30,319.3430657,2.741299637,23.07692308,910,91,2.502703433,1
38,349.756691,3.002375793,29.23076923,786.8421053,78.68421053,2.184445298,1
35,349.756691,3.263451949,26.92307692,854.2857143,92.85714286,2.560416908,1
35,319.3430657,2.871837715,26.92307692,780,81.71428571,2.256377206,1
39,316.3017032,2.702138214,30,693.3333333,69,1.918254934,1
35,349.756691,4.255541341,26.92307692,854.2857143,121.0857143,3.309248639,1
35,349.756691,3.916142339,26.92307692,854.2857143,111.4285714,3.053069362,1
40,349.756691,3.655066183,30.76923077,747.5,91,2.511151663,1
39,319.3430657,2.871837715,30,700,73.33333333,2.034051996,1
38,329.9878345,2.871837715,29.23076923,742.3684211,75.26315789,2.088202181,1
35,471.4111922,4.177218495,26.92307692,1151.428571,118.8571429,3.283923261,1
35,334.5498783,3.132913871,26.92307692,817.1428571,89.14285714,2.457662303,1
45,329.9878345,2.871837715,34.61538462,626.8888889,63.55555556,1.777629464,1
45,334.5498783,2.871837715,34.61538462,635.5555556,63.55555556,1.778896699,1
40,349.756691,3.002375793,30.76923077,747.5,74.75,2.080080765,1
45,319.3430657,2.676030598,34.61538462,606.6666667,59.22222222,1.659720345,1
47,334.5498783,3.132913871,36.15384615,608.5106383,66.38297872,1.853900997,1
50,339.1119221,4.307756573,38.46153846,579.8,85.8,2.370252095,1
40,349.756691,3.655066183,30.76923077,747.5,91,2.511151663,1
45,346.7153285,4.046680417,34.61538462,658.6666667,89.55555556,2.471989427,1
45,339.1119221,4.046680417,34.61538462,644.2222222,89.55555556,2.469877369,1
49,323.9051095,3.785604261,37.69230769,565.1020408,76.93877551,2.130962381,1
45,329.9878345,3.19818291,34.61538462,626.8888889,70.77777778,1.96921653,1
40,349.756691,3.002375793,30.76923077,747.5,74.75,2.080080765,1
45,364.6593674,2.640785317,34.61538462,692.7555556,58.44222222,1.651616803,1
46,302.6916058,3.614599379,35.38461538,562.5326087,78.25434783,2.159968506,1
54,293.6435523,4.205936872,41.53846154,464.8703704,77.56666667,2.139212738,1
40,334.5498783,3.655066183,30.76923077,715,91,2.506927548,1
45,349.756691,3.720335222,34.61538462,664.4444444,82.33333333,2.281247184,1
55,329.9878345,4.438294651,42.30769231,512.9090909,80.36363636,2.223504817,1
55,329.9878345,4.177218495,42.30769231,512.9090909,75.63636364,2.098102374,1
55,316.3017032,3.785604261,42.30769231,491.6363636,68.54545455,1.906197007,1
45,361.9221411,4.046680417,34.61538462,687.5555556,89.55555556,2.476213541,1
55,334.5498783,4.177218495,42.30769231,520,75.63636364,2.099369608,1
45,334.5498783,4.307756573,34.61538462,635.5555556,95.33333333,2.621879787,1
50,325.4257908,2.871837715,38.46153846,556.4,57.2,1.607765612,1
50,345.1946472,3.655066183,38.46153846,590.2,72.8,2.027085023,1
50,361.9221411,3.524528105,38.46153846,618.8,70.2,1.962760205,1
50,314.7810219,3.785604261,38.46153846,538.2,75.4,2.087608137,1
60,334.5498783,4.177218495,46.15384615,476.6666667,69.33333333,1.932166351,1
40,349.756691,4.307756573,30.76923077,747.5,107.25,2.94222256,1
30,336.0705596,4.568832729,23.07692308,957.6666667,151.6666667,4.11668131,1
20,334.5498783,3.916142339,15.38461538,1430,195,5.265781292,1
17,375.6082725,8.484975067,13.07692308,1888.823529,497.0588235,13.29003367,1
25,372.56691,4.673263191,19.23076923,1274,186.16,5.041839011,1
10,389.2944039,7.701746599,7.692307692,3328,767,20.4546837,2
20,395.377129,5.874213508,15.38461538,1690,292.5,7.869103136,1
40,346.7153285,7.440670444,30.76923077,741,185.25,5.010518045,1
40,334.5498783,6.526903898,30.76923077,715,162.5,4.403639497,1
45,319.3430657,6.787980054,34.61538462,606.6666667,150.2222222,4.073717371,1
42,351.2773723,6.135289664,32.30769231,715,145.4761905,3.95668794,1
35,360.4014599,4.568832729,26.92307692,880.2857143,130,3.548678697,1
21,384.8388078,6.846722189,17.5,1446.114286,299.7142857,8.057552355,1
22,364.9635036,7.179594288,16.92307692,1418.181818,325,8.722796702,1
10,364.9635036,5.221523118,7.692307692,3120,520,13.89564747,2
23,394.6319951,7.115630629,17.69230769,1466.795652,308.1,8.282724216,1
30,380.1703163,7.179594288,23.07692308,1083.333333,238.3333333,6.42797603,1
25,440.9975669,7.701746599,19.23076923,1508,306.8,8.26111787,1
35,422.7493917,7.571208522,26.92307692,1032.571429,215.4285714,5.832198857,1
33,440.9975669,7.597316137,25.38461538,1142.424242,229.2727273,6.204517806,1
25,402.9805353,6.918518132,19.23076923,1378,275.6,7.42290146,1
25,425.7907543,7.440670444,19.23076923,1456,296.4,7.981008381,1
30,406.0218978,7.832284677,23.07692308,1157,260,7.009918221,1
20,433.3941606,7.179594288,13.33333333,2137.5,412.5,11.0629562,2
26,312.7585158,3.388768504,20.3125,1012.529231,127.8030769,3.477165801,1
35,334.5498783,4.960446962,26.92307692,817.1428571,141.1428571,3.837089175,1
38,290.4501217,4.829908884,29.23076923,653.4210526,126.5789474,3.438496002,1
40,299.7414842,5.088374279,30.3030303,650.463,128.634,3.495592221,1
40,261.5723844,4.476150693,33.33333333,516.03,102.87,2.801536733,1
51,262.7128954,3.994465185,39.23076923,440.3686275,78,2.142116112,1
55,279.8053528,4.47092917,42.30769231,434.9090909,80.95454545,2.225240544,1
50,288.9294404,4.177218495,38.46153846,494,83.2,2.287341173,1
55,264.5985401,3.589797144,42.30769231,411.2727273,65,1.797783185,1
60,263.0778589,3.628958567,46.15384615,374.8333333,60.23333333,1.67091331,1
60,261.5571776,3.602850952,46.15384615,372.6666667,59.8,1.658995675,1
55,281.5389294,3.108111636,42.30769231,437.6036364,56.27818182,1.571121341,1
54,250.0912409,3.058507167,41.53846154,395.9222222,56.40555556,1.565764771,1
60,250.9124088,3.132913871,46.15384615,357.5,52,1.449124763,1
58,266.1192214,3.785604261,44.61538462,392.2413793,65,1.798205596,1
60,260.0364964,3.903088531,46.15384615,370.5,64.78333333,1.790768338,1
65,255.4744526,4.568832729,46.42857143,361.8461538,75.38461538,2.070725976,1
65,264.5985401,3.524528105,50,348,54,1.505981346,1
60,273.7226277,3.876980915,46.15384615,390,64.35,1.783074818,1
50,250.3041363,3.363966269,38.46153846,427.96,67.002,1.846920451,1
55,276.9312652,4.378247135,42.30769231,430.4418182,79.27636364,2.179924319,1
53,287.3479319,3.86784325,44.16666667,427.8339623,67.08679245,1.859459721,1
40,280.9154501,3.311751038,30.76923077,600.3725,82.4525,2.265285804,1
40,304.136253,3.132913871,30.76923077,650,78,2.153622601,1
47,316.3017032,4.842962692,33.57142857,619.5744681,110.5106383,3.019425894,1
48,342.1532847,5.156254079,36.92307692,609.375,106.9791667,2.932925988,1
38,312.5456204,5.000913767,29.23076923,703.1289474,131.0605263,3.563518456,1
48,316.5754258,4.919980158,36.92307692,563.8208333,102.0770833,2.795781306,1
43,321.7153285,5.327258961,33.07692308,639.6,123.3790698,3.362296221,1
60,316.3017032,6.39636582,42.85714286,485.3333333,114.3333333,3.120832207,1
63,349.756691,5.913374931,48.46153846,474.6031746,93.47619048,2.576838657,1
50,349.756691,4.829908884,38.46153846,598,96.2,2.64909435,1
50,313.8534063,5.342923531,38.46153846,536.614,106.418,2.910178596,1
54,318.8412409,6.14573271,45,465.9333333,104.6222222,2.863926718,1
53,313.7773723,5.882045793,40.76923077,506.1169811,110.5245283,3.019093158,1
40,334.5498783,5.874213508,30.76923077,715,146.25,3.9725686,1
50,364.9635036,6.657441976,38.46153846,624,132.6,3.618917275,1
57,364.9635036,6.39636582,43.84615385,547.3684211,111.754386,3.065936503,1
48,342.1532847,5.874213508,36.92307692,609.375,121.875,3.328074311,1
50,301.3686131,6.059577579,39.68253968,499.4136,116.9784,3.186850973,1
56,232.2536496,4.369109469,46.66666667,327.2785714,71.72142857,1.967100785,1
58,266.4537713,4.03493199,44.61538462,392.7344828,69.28103448,1.911863411,1
60,336.0705596,5.874213508,46.15384615,478.8333333,97.5,2.679778318,1
58,351.2773723,5.482599274,44.61538462,517.7586207,94.13793103,2.594815351,1
53,343.6739659,4.712424614,40.76923077,554.3396226,88.54716981,2.444394711,1
53,302.3874696,5.410803331,44.16666667,450.2264151,93.8490566,2.573571723,1
50,334.2457421,4.874291831,41.66666667,527.52,89.616,2.470129089,1
50,334.5498783,4.829908884,38.46153846,572,96.2,2.644870235,1
63,364.9635036,4.829908884,48.46153846,495.2380952,76.34920635,2.12672773,1
60,357.3600973,5.639244968,46.15384615,509.1666667,93.6,2.582235064,1
47,334.7171533,5.010051432,36.15384615,608.8148936,106.1574468,2.909062272,1
49,271.5328467,5.979949351,40.83333333,437.2897959,112.1877551,3.051479716,1
47,320.4683698,5.805028327,39.16666667,538.0595745,113.5404255,3.1009558,1
40,410.5839416,6.135289664,30.76923077,877.5,152.75,4.166117532,1
47,426.0948905,7.274887085,36.15384615,775.0212766,154.1468085,4.207479882,1
36,417.5638686,7.06602616,27.69230769,991.575,195.4694444,5.301293893,1
38,447.323601,7.673028222,29.23076923,1006.336842,201.0894737,5.458645473,1
30,456.2043796,6.918518132,23.07692308,1300,229.6666667,6.219192124,1
55,440.9975669,6.265827742,42.30769231,685.4545455,113.4545455,3.132157954,1
65,456.2043796,7.179594288,50,600,110,3.044741822,1
45,408.3181265,5.951230974,34.61538462,775.6955556,131.7044444,3.60720343,1
55,401.1861314,5.935566405,42.30769231,623.5745455,107.4745455,2.962465132,1
57,367.4270073,5.510012271,44.53125,542.5852632,94.78736842,2.616529272,1
55,375.7907543,5.111871133,45.83333333,539.1709091,85.44,2.370890781,1
55,376.4142336,5.631412683,45.83333333,540.0654545,94.12363636,2.601418611,1
50,402.9805353,5.874213508,38.46153846,689,117,3.2156495,1
50,439.4768856,5.874213508,35.71428571,809.2,126,3.464534334,1
50,453.163017,6.135289664,38.46153846,774.8,122.2,3.367531765,1
60,448.6009732,6.51385009,46.15384615,639.1666667,108.1166667,2.992669753,1
40,441.6666667,6.243636269,33.33333333,871.32,143.49,3.929107529,1
50,477.676399,7.622118372,41.66666667,753.888,140.136,3.850137199,1
40,513.7773723,7.699135838,33.33333333,1013.58,176.94,4.836481144,1
43,486.6180049,6.265827742,33.07692308,967.4418605,145.1162791,3.984735032,1
60,486.6180049,6.39636582,46.15384615,693.3333333,106.1666667,2.951501532,1
55,486.6180049,6.461634859,42.30769231,756.3636364,117,3.23888213,1
40,501.8248175,7.179594288,30.76923077,1072.5,178.75,4.881175656,1
40,505.9762774,7.303605462,33.33333333,998.19,167.85,4.593179745,1
30,536.8156934,7.810093204,24,1470.875,249.2916667,6.762185163,1
30,579.7445255,8.283946427,23.07692308,1652.04,274.9933333,7.455909255,1
28,631.0827251,9.529279691,21.53846154,1926.785714,338.9285714,9.166208049,2
22,638.6861314,10.18197008,16.92307692,2481.818182,460.9090909,12.404151,2
20,608.2725061,11.87896509,15.38461538,2600,591.5,15.85994526,2
17,626.6879562,11.88288124,13.07692308,3151.429412,696.1117647,18.64014295,2
13,636.7852798,12.20792105,10,4187.5,935.2,24.98534655,2
15,375.5626521,7.246168707,11.53846154,2140.406667,481.0866667,12.86632057,2
13,684.3065693,9.529279691,10.83333333,4153.846154,673.8461538,18.06549847,2
15,714.7201946,11.09573663,11.53846154,4073.333333,736.6666667,19.74041408,2
13,667.9440389,12.37109365,10,4392.4,947.7,25.32559476,2
13,707.1167883,13.0538078,10,4650,1000,26.72386118,2
12,689.0206813,11.92465342,9.230769231,4908.583333,989.625,26.44361229,2
12,669.0997567,11.74842702,8,5500,1125,30.02923087,2
10,729.9270073,11.87896509,6.666666667,7200,1365,36.4127129,2
10,668.6587591,14.21820745,7.692307692,5716.23,1415.96,37.74753227,2
8,701.0340633,14.35918858,5.714285714,8067.5,1925,51.26005339,2
9,562.6520681,4.046680417,9,4111.111111,344.4444444,9.293521522,2
9,626.4902676,6.184894134,7.5,5493.066667,631.7333333,16.93229307,2
10,577.8588808,6.265827742,7.692307692,4940,624,16.71363882,2
8,692.2749392,7.906691382,6.153846154,7397.65,984.2625,26.30226286,2
6,701.0340633,7.832284677,4.615384615,9988.333333,1300,34.68040349,2
10,684.3065693,9.790355847,7.692307692,5850,975,26.05433901,2
18,608.2725061,7.893637574,12.85714286,3111.111111,470.3222222,12.64540904,2
10,653.892944,7.571208522,7.692307692,5590,754,20.18332657,2
11,623.4793187,6.526903898,6.111111111,6709.090909,818.1818182,21.87745767,2
10,653.892944,7.571208522,7.692307692,5590,754,20.18332657,2
10,593.0656934,8.484975067,6.666666667,5850,975,26.02899432,2
10,570.2554745,9.790355847,6.666666667,5625,1125,30.00177413,2
10,623.4793187,9.137665457,7.692307692,5330,910,24.31315896,2
10,593.0656934,9.137665457,6.666666667,5850,1050,28.01855231,2
14,638.6861314,9.920893925,10,4200,760,20.3382671,2
10,684.3065693,11.09573663,7.692307692,5850,1105,29.50290619,2
10,539.8418491,1.931963554,9.090909091,3905,162.8,4.468623277,2
12,547.4452555,6.918518132,8,4500,662.5,17.72649703,2
11,517.0316302,3.916142339,8.461538462,4018.181818,354.5454545,9.548803116,2
